image label
/test/CHP_08_01.jpg 0
/test/CHP_08_02.jpg 0
/test/CHP_14_01.jpg 0
/test/CHP_14_02.jpg 0
/test/CHP_19_01.jpg 0
/test/CHP_25_01.jpg 0
/test/CHP_34_01.jpg 0
/test/CHP_48_01.jpg 0
/test/CHP_49_01.jpg 0
/test/CWP_02_01.jpg 1
/test/CWP_09_01.jpg 1
/test/CWP_30_01.jpg 1
/test/CWP_40_01.jpg 1
/test/CWP_40_02.jpg 1
/test/CWP_40_03.jpg 1
/test/CWP_40_04.jpg 1
/test/HEALTHY_11_01.jpg 2
/test/HEALTHY_37_01.jpg 2
/test/HEALTHY_55_01.jpg 2
/test/HEALTHY_67_01.jpg 2
/test/HEALTHY_68_01.jpg 2
/test/HEALTHY_71_01.jpg 2
/test/HEALTHY_79_01.jpg 2
/test/HEALTHY_83_01.jpg 2
/test/HEALTHY_98_01.jpg 2
/test/HFMD_09_01.jpg 3
/test/HFMD_100_01.jpg 3
/test/HFMD_109_01.jpg 3
/test/HFMD_125_01.jpg 3
/test/HFMD_130_01.jpg 3
/test/HFMD_132_01.jpg 3
/test/HFMD_139_01.jpg 3
/test/HFMD_18_01.jpg 3
/test/HFMD_23_01.jpg 3
/test/HFMD_29_01.jpg 3
/test/HFMD_49_01.jpg 3
/test/HFMD_60_01.jpg 3
/test/HFMD_60_02.jpg 3
/test/HFMD_81_01.jpg 3
/test/HFMD_84_01.jpg 3
/test/HFMD_84_02.jpg 3
/test/MKP_10_01.jpg 4
/test/MKP_10_02.jpg 4
/test/MKP_111_01.jpg 4
/test/MKP_118_01.jpg 4
/test/MKP_120_01.jpg 4
/test/MKP_138_01.jpg 4
/test/MKP_138_02.jpg 4
/test/MKP_141_01.jpg 4
/test/MKP_16_01.jpg 4
/test/MKP_24_01.jpg 4
/test/MKP_24_02.jpg 4
/test/MKP_26_01.jpg 4
/test/MKP_26_02.jpg 4
/test/MKP_28_01.jpg 4
/test/MKP_28_02.jpg 4
/test/MKP_28_03.jpg 4
/test/MKP_28_04.jpg 4
/test/MKP_38_01.jpg 4
/test/MKP_38_02.jpg 4
/test/MKP_55_01.jpg 4
/test/MKP_69_01.jpg 4
/test/MKP_69_02.jpg 4
/test/MKP_69_03.jpg 4
/test/MKP_71_01.jpg 4
/test/MKP_71_02.jpg 4
/test/MKP_71_03.jpg 4
/test/MKP_71_04.jpg 4
/test/MSL_16_01.jpg 5
/test/MSL_21_01.jpg 5
/test/MSL_23_01.jpg 5
/test/MSL_23_02.jpg 5
/test/MSL_42_01.jpg 5
/test/MSL_44_01.jpg 5
